Attrition_Flag,Churn_Prob,Customer_Age,Tenure_Months,Credit_Utilization,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
0,0.0,45,39,0.0901426207548656,False,True,False,False,False,False,False
0,3.170878934289093e-220,49,44,0.1563711240310077,False,False,False,True,False,False,False
0,1.0,51,36,0.5520772381509654,False,False,True,False,False,False,False
0,3.043375049393116e-275,40,34,0.353456082100815,False,False,False,True,False,False,False
0,1.0,40,21,0.1730279898218829,False,True,False,False,False,False,False
0,4.2327469919257723e-32,44,36,0.2713216957605985,True,False,False,False,False,False,False
0,0.0,51,46,0.0385328543284273,False,False,False,False,True,False,False
0,0.0,32,27,0.0528867645541762,False,True,False,False,False,False,True
0,0.0,37,36,0.0603972798854688,False,True,False,False,False,False,False
0,0.0,48,36,0.1236273164035689,False,False,True,False,False,False,False
0,0.0,42,31,0.1779786603438055,False,False,False,False,False,False,False
0,0.0,65,54,0.1444749862561847,True,False,False,False,False,False,False
0,1.696593251275943e-122,56,36,0.13096757722747,False,False,True,False,False,False,False
0,0.0,35,30,0.1533871533871534,False,True,False,False,False,False,False
0,1.0,57,48,0.6444991789819376,False,False,False,True,False,False,False
0,1.0,44,37,0.3183750590458195,False,False,True,False,False,False,False
0,0.0,48,36,0.0550268383442552,False,False,True,False,False,False,False
0,0.0,41,34,0.0759512375323236,False,False,True,False,False,False,False
0,8.713417561447839e-156,61,56,0.4184152834325086,True,False,False,False,False,False,False
0,0.0,45,37,0.0834139599170698,False,False,False,False,False,False,False
0,0.0,47,42,0.0561513894847228,False,True,False,False,False,False,False
1,1.0,62,49,0.4811235486338038,False,False,False,True,False,False,False
0,1.150735076783935e-16,41,33,0.2082774049217002,True,False,False,False,False,False,False
0,1.0,47,36,0.4518459069020867,False,False,False,True,False,False,False
0,0.0,54,42,0.0908570025374478,False,False,True,False,False,False,False
0,0.0,41,28,0.1352986611740473,False,False,False,True,False,False,False
0,0.0,59,46,0.080965909090909,True,False,False,False,False,False,False
0,2.5293539552709414e-29,63,56,0.1863925599608419,False,True,False,False,False,False,False
0,5.715848952980225e-306,44,34,0.1041584158415841,False,False,False,False,False,False,False
0,9.819660219804634e-196,47,42,0.2183908045977011,True,False,False,False,False,False,False
0,2.0059404827083565e-108,53,33,0.3770432255721032,False,False,True,False,False,False,False
0,1.0,53,48,0.6511627906976745,False,True,False,False,False,False,False
0,0.0,41,36,0.1780791213717359,False,True,False,False,False,False,False
0,1.0,53,38,0.5324528301886793,False,False,False,True,False,False,False
0,0.0,58,49,0.1028275587415372,False,False,True,False,False,False,False
0,1.0,55,36,0.3997159090909091,False,False,False,True,False,False,False
0,1.0,55,36,0.6184514003294893,False,False,False,True,False,False,False
0,0.0,42,36,0.0625931445603576,False,False,False,True,True,False,False
0,1.0,57,49,0.3986928104575163,True,False,False,False,False,False,False
1,0.0,66,56,0.0893174321238264,False,False,False,False,False,False,False
0,0.0,45,41,0.0342009498550545,False,False,True,False,False,False,False
0,0.0,51,44,0.2170829975825947,True,False,False,False,False,False,False
0,0.0,50,43,0.1014794267221451,True,False,False,False,False,False,True
0,1.0,49,37,0.4495647721454173,False,True,False,False,False,False,False
0,0.0,38,28,0.1060020345879959,False,False,False,False,False,False,False
0,0.0,49,30,0.0418356704137211,False,False,True,False,False,False,False
0,1.0,56,45,0.762593079281647,False,True,False,False,False,False,False
0,1.0,59,52,0.6746467817896389,True,False,False,False,False,False,False
0,0.0,46,40,0.0625449686504265,False,False,True,False,False,False,False
0,1.553407744863155e-83,52,40,0.2402528977871443,False,False,True,False,False,False,False
0,1.0,52,41,0.7162471395881007,False,False,False,True,False,False,False
1,1.0,54,40,0.4901619968017799,False,False,False,True,False,False,False
0,1.0,66,54,0.6136865342163356,False,False,False,True,False,False,False
0,0.0,49,36,0.0715478419268329,False,False,False,False,False,False,False
1,0.0,56,36,0.0381761684317331,False,False,False,False,False,False,False
0,4.145724967874647e-279,49,36,0.3189812007277137,False,False,False,True,False,False,False
0,8.111849661623003e-110,49,36,0.4621698786581013,False,False,False,True,False,False,False
0,7.299151553103972e-31,56,50,0.3194257514580529,True,False,False,False,False,False,False
0,0.9999999999907212,44,35,0.2166427546628407,False,False,False,False,False,False,False
0,6.900294125718405e-59,42,34,0.3501199040767386,False,True,False,False,False,False,False
0,3.413297654929638e-207,55,47,0.3192665890570431,False,False,True,False,False,False,False
1,0.0,48,35,0.020019701008228,False,True,False,False,False,False,True
0,1.5853718083991883e-70,39,33,0.2220722240971988,False,True,False,False,False,False,False
0,0.0,44,32,0.0532620945861334,False,False,False,False,False,False,False
0,0.0,53,44,0.0874847291977738,False,False,False,False,False,False,False
0,0.0,51,38,0.0374608877042531,False,False,True,False,False,False,True
0,6.899295383961906e-290,57,52,0.2054981773997569,False,True,False,False,False,False,False
0,1.0,44,20,0.5431861804222649,False,False,False,True,False,False,False
0,1.0,49,32,0.989922940130409,False,True,False,False,False,False,False
0,0.0,50,38,0.0330830039525691,False,False,True,False,False,False,False
0,0.0,51,42,0.0449067099316259,False,False,False,False,False,False,False
0,1.0,55,42,0.6949458483754513,False,False,False,True,False,False,False
0,1.0486925566468843e-27,54,43,0.4316151202749141,False,True,False,False,False,False,False
0,0.0,42,37,0.0608388251211102,False,False,True,False,False,False,False
0,0.0,44,35,0.0551579466929911,False,True,False,False,False,False,False
0,2.534774346578434e-107,53,36,0.2444992412746585,False,False,True,False,False,False,False
